,logistic,LDA,random_forest,SVM,logistic_lasso,logistic_ridge
test_f1,0.11835149313962874,0.1847966758638812,0.22413585372119607,0.28395439252394244,0.19778499067657454,0.20180427224458178
test_accuracy,0.0,0.0,0.3626373626373626,0.0,0.0,0.0
train_f1,0.10501726624473842,0.15590238149650965,0.1943915826668996,0.2690547347688212,0.17335212021614238,0.17613856416802473
train_accuracy,0.0,0.0027472527472527475,0.4340659340659341,0.0027472527472527475,0.0027472527472527475,0.0027472527472527475
test_f1_adrenal,0.10416666666666667,0.10416666666666667,0.16216216216216217,0.10416666666666667,0.10416666666666667,0.10416666666666667
test_f1_bone,0.26666666666666666,0.26666666666666666,0.32,0.26666666666666666,0.26666666666666666,0.26666666666666666
test_f1_cns,0.0,0.0,0.0,0.2962962962962963,0.0,0.0
test_f1_liver,0.0,0.0,0.0,0.13559322033898305,0.125,0.17391304347826086
test_f1_ln,0.0,0.46511627906976744,0.5573770491803278,0.43103448275862066,0.43103448275862066,0.41025641025641024
test_f1_lung,0.4576271186440678,0.4576271186440678,0.5294117647058824,0.4576271186440678,0.4576271186440678,0.4576271186440678
test_f1_pleura,0.0,0.0,0.0,0.2962962962962963,0.0,0.0
